iter	Passed	Remaining
880	11436	1544
881	11448	1531
882	11463	1518
883	11474	1505
884	11485	1492
885	11498	1479
886	11510	1466
887	11522	1453
888	11533	1440
889	11545	1426
890	11558	1414
891	11572	1401
892	11584	1388
893	11597	1375
894	11609	1361
895	11621	1348
896	11632	1335
897	11647	1322
898	11661	1310
899	11675	1297
900	11687	1284
901	11698	1271
902	11711	1258
903	11723	1244
904	11735	1231
905	11746	1218
906	11770	1206
907	11782	1193
908	11793	1180
909	11806	1167
910	11818	1154
911	11831	1141
912	11845	1128
913	11857	1115
914	11870	1102
915	11882	1089
916	11894	1076
917	11907	1063
918	11919	1050
919	11930	1037
920	11942	1024
921	11956	1011
922	11969	998
923	11981	985
924	11992	972
925	12004	959
926	12016	946
927	12027	933
928	12040	920
929	12051	907
930	12064	894
931	12075	881
932	12089	868
933	12101	855
934	12113	842
935	12124	829
936	12136	816
937	12148	802
938	12159	789
939	12170	776
940	12182	763
941	12194	750
942	12206	737
943	12218	724
944	12231	711
945	12244	698
946	12256	685
947	12268	672
948	12281	660
949	12293	647
950	12306	634
951	12316	620
952	12327	607
953	12339	594
954	12351	582
955	12364	569
956	12377	556
957	12389	543
958	12401	530
959	12413	517
960	12425	504
961	12437	491
962	12449	478
963	12461	465
964	12474	452
965	12488	439
966	12501	426
967	12513	413
968	12525	400
969	12537	387
970	12548	374
971	12560	361
972	12572	348
973	12584	335
974	12596	322
975	12609	310
976	12622	297
977	12635	284
978	12648	271
979	12660	258
980	12672	245
981	12684	232
982	12696	219
983	12708	206
984	12720	193
985	12733	180
986	12745	167
987	12757	154
988	12769	142
989	12782	129
990	12794	116
991	12805	103
992	12817	90
993	12831	77
994	12843	64
995	12853	51
996	12865	38
997	12878	25
998	12891	12
999	12903	0
